,id_ccaa,anio,mes,id_energia,porcentaje,valor
256,8,2019,Mayo,3,0.1897889178334841,295840.986
257,8,2019,Junio,3,0.1802045789434856,194490.28
258,8,2019,Julio,3,0.3003455633053471,349848.65
259,8,2019,Agosto,3,0.3312956374714962,359216.117
260,8,2019,Septiembre,3,0.2719088885328088,399504.226
261,8,2019,Octubre,3,0.1929941914537576,229935.938
262,8,2019,Noviembre,3,0.1763350636114241,410281.133
263,8,2019,Diciembre,3,0.4893434602218769,1326686.653
264,8,2019,Enero,4,0.6912313642993572,1277136.993
265,8,2019,Febrero,4,0.5239035908795417,685497.884
266,8,2019,Marzo,4,0.648540806818516,1176169.894
267,8,2019,Abril,4,0.699652165532112,1071785.443
268,8,2019,Mayo,4,0.7303564685381407,1138472.047
269,8,2019,Junio,4,0.7075529225730001,763644.114
270,8,2019,Julio,4,0.5972625681165504,695703.645
271,8,2019,Agosto,4,0.5663227571051888,614050.53
272,8,2019,Septiembre,4,0.6562641912648227,964221.211
273,8,2019,Octubre,4,0.7362441421631575,877171.412
274,8,2019,Noviembre,4,0.8009986553250732,1863694.203
275,8,2019,Diciembre,4,0.490321332247982,1329337.817
276,8,2019,Enero,1,0.025149042465999,46466.023
277,8,2019,Febrero,1,0.0502561974804852,65757.36
278,8,2019,Marzo,1,0.049278539821642,89369.758
279,8,2019,Abril,1,0.0483242116025885,74027.051
280,8,2019,Mayo,1,0.0660261326151596,102920.847
281,8,2019,Junio,1,0.0881033251782099,95087.708
282,8,2019,Julio,1,0.0822597758750173,95817.868
283,8,2019,Agosto,1,0.0850594668678411,92227.992
284,8,2019,Septiembre,1,0.0540382837076887,79396.164
285,8,2019,Octubre,1,0.0495820447011216,59072.731
286,8,2019,Noviembre,1,0.0132353446199642,30794.852
287,8,2019,Diciembre,1,0.0122896418017711,33319.141
288,8,2019,Enero,6,0.014084135518663,26022.214
289,8,2019,Febrero,6,0.0185985569311911,24335.148
290,8,2019,Marzo,6,0.0122261160320393,22172.837
291,8,2019,Abril,6,0.0094364011538675,14455.465
292,8,2019,Mayo,6,0.0138284810132152,21555.692
