,id_ccaa,anio,mes,valor
275,6,2020,Diciembre,306515.675
276,7,2020,Enero,1061533.843
277,7,2020,Febrero,939083.828
278,7,2020,Marzo,988619.577
279,7,2020,Abril,807391.746
280,7,2020,Mayo,917831.634
281,7,2020,Junio,964355.873
282,7,2020,Julio,1173169.272
283,7,2020,Agosto,1114481.323
284,7,2020,Septiembre,930478.016
285,7,2020,Octubre,926029.016
286,7,2020,Noviembre,918647.462
287,7,2020,Diciembre,1018731.82
288,8,2020,Enero,1289529.098
289,8,2020,Febrero,1158160.686
290,8,2020,Marzo,1127288.907
291,8,2020,Abril,903667.226
292,8,2020,Mayo,975778.847
293,8,2020,Junio,1031437.936
294,8,2020,Julio,1226900.23
295,8,2020,Agosto,1126916.921
296,8,2020,Septiembre,1084962.292
297,8,2020,Octubre,1156341.074
298,8,2020,Noviembre,1143244.181
299,8,2020,Diciembre,1205269.286
300,9,2020,Enero,4180533.867
301,9,2020,Febrero,3739391.844
302,9,2020,Marzo,3655675.5
303,9,2020,Abril,2974661.857
304,9,2020,Mayo,3196176.385
305,9,2020,Junio,3394330.06
306,9,2020,Julio,4124597.367
307,9,2020,Agosto,3825701.263
308,9,2020,Septiembre,3636332.142
309,9,2020,Octubre,3685266.366
310,9,2020,Noviembre,3661150.298
311,9,2020,Diciembre,3983099.447
312,10,2020,Enero,1464723.239
313,10,2020,Febrero,1370961.607
314,10,2020,Marzo,1354901.587
315,10,2020,Abril,969319.589
316,10,2020,Mayo,1122317.097
317,10,2020,Junio,1157223.566
318,10,2020,Julio,1211455.235
319,10,2020,Agosto,987600.964
320,10,2020,Septiembre,1253870.065
321,10,2020,Octubre,1374290.634
322,10,2020,Noviembre,1348346.356
323,10,2020,Diciembre,1322546.667
324,11,2020,Enero,818569.533
325,11,2020,Febrero,753713.456
326,11,2020,Marzo,793322.507
327,11,2020,Abril,658828.308
328,11,2020,Mayo,673587.975
329,11,2020,Junio,657386.079
330,11,2020,Julio,693685.822
331,11,2020,Agosto,670393.413
332,11,2020,Septiembre,686850.454
333,11,2020,Octubre,760044.453
334,11,2020,Noviembre,746484.147
335,11,2020,Diciembre,812041.784
336,13,2020,Enero,2737334.364
337,13,2020,Febrero,2357438.71
338,13,2020,Marzo,2268882.296
339,13,2020,Abril,1825502.09
340,13,2020,Mayo,1855359.252
341,13,2020,Junio,2019611.065
342,13,2020,Julio,2525218.389
343,13,2020,Agosto,2202008.892
344,13,2020,Septiembre,2067050.074
345,13,2020,Octubre,2184994.561
346,13,2020,Noviembre,2296506.89
347,13,2020,Diciembre,2569037.905
348,14,2020,Enero,450763.969
349,14,2020,Febrero,422377.178
350,14,2020,Marzo,407204.579
351,14,2020,Abril,329918.004
352,14,2020,Mayo,377656.588
353,14,2020,Junio,387263.707
354,14,2020,Julio,396242.377
355,14,2020,Agosto,391904.088
356,14,2020,Septiembre,419135.926
357,14,2020,Octubre,423452.642
358,14,2020,Noviembre,427189.248
359,14,2020,Diciembre,409950.116
360,15,2020,Enero,2508069.037
361,15,2020,Febrero,2121198.841
362,15,2020,Marzo,2101279.181
363,15,2020,Abril,1658367.752
364,15,2020,Mayo,1827469.331
365,15,2020,Junio,1973106.075
366,15,2020,Julio,2517075.658
367,15,2020,Agosto,2431482.847
368,15,2020,Septiembre,2160161.801
369,15,2020,Octubre,2092023.643
370,15,2020,Noviembre,2119833.626
371,15,2020,Diciembre,2351728.827
372,16,2020,Enero,458471.77
373,16,2020,Febrero,389007.747
374,16,2020,Marzo,394485.672
375,16,2020,Abril,337487.516
376,16,2020,Mayo,347169.665
377,16,2020,Junio,385510.529
378,16,2020,Julio,497827.803
379,16,2020,Agosto,489402.967
380,16,2020,Septiembre,422010.656
381,16,2020,Octubre,396197.376
382,16,2020,Noviembre,405048.58
383,16,2020,Diciembre,428972.183
384,17,2020,Enero,1697792.905
385,17,2020,Febrero,1475967.306
386,17,2020,Marzo,1493138.351
387,17,2020,Abril,1268982.914
388,17,2020,Mayo,1327958.665
389,17,2020,Junio,1438593.814
390,17,2020,Julio,1380397.914
391,17,2020,Agosto,1390800.24
392,17,2020,Septiembre,1375753.284
393,17,2020,Octubre,1471636.389
394,17,2020,Noviembre,1491474.968
395,17,2020,Diciembre,1600592.994
396,8743,2020,Enero,456464.05
397,8743,2020,Febrero,403435.857
398,8743,2020,Marzo,403832.751
399,8743,2020,Abril,321712.013
400,8743,2020,Mayo,327175.074
401,8743,2020,Junio,360864.887
402,8743,2020,Julio,528918.585
403,8743,2020,Agosto,566318.86
404,8743,2020,Septiembre,403465.241
405,8743,2020,Octubre,368113.495
406,8743,2020,Noviembre,364441.335
407,8743,2020,Diciembre,436982.595
408,8742,2020,Enero,756953.464
409,8742,2020,Febrero,705861.132
410,8742,2020,Marzo,682194.297
411,8742,2020,Abril,548481.932
412,8742,2020,Mayo,581117.603
413,8742,2020,Junio,602698.837
414,8742,2020,Julio,679184.288
415,8742,2020,Agosto,712516.545
416,8742,2020,Septiembre,684875.592
417,8742,2020,Octubre,674860.239
418,8742,2020,Noviembre,652336.766
419,8742,2020,Diciembre,665587.715
420,21,2020,Enero,826921.959
421,21,2020,Febrero,710409.485
422,21,2020,Marzo,748455.972
423,21,2020,Abril,630962.979
424,21,2020,Mayo,700712.044
425,21,2020,Junio,751296.944
426,21,2020,Julio,909611.101
427,21,2020,Agosto,904273.955
428,21,2020,Septiembre,773862.263
429,21,2020,Octubre,737168.266
430,21,2020,Noviembre,714052.423
431,21,2020,Diciembre,796790.727
432,20,2020,Enero,155709.587
433,20,2020,Febrero,139196.214
434,20,2020,Marzo,137102.562
435,20,2020,Abril,111843.378
436,20,2020,Mayo,117782.567
437,20,2020,Junio,121000.367
438,20,2020,Julio,144053.936
439,20,2020,Agosto,133978.303
440,20,2020,Septiembre,137621.254
441,20,2020,Octubre,141061.124
442,20,2020,Noviembre,139104.195
443,20,2020,Diciembre,141654.074
444,8744,2020,Enero,17835.113
445,8744,2020,Febrero,15770.011
446,8744,2020,Marzo,16608.196
447,8744,2020,Abril,15531.111
448,8744,2020,Mayo,15827.471
449,8744,2020,Junio,15839.422
450,8744,2020,Julio,17917.496
451,8744,2020,Agosto,18096.779
452,8744,2020,Septiembre,16830.054
453,8744,2020,Octubre,16095.768
454,8744,2020,Noviembre,15792.687
455,8744,2020,Diciembre,17053.994
456,8745,2021,Enero,18321.295
457,8745,2021,Febrero,15061.0
458,8745,2021,Marzo,16300.381
459,8745,2021,Abril,15293.779
460,8745,2021,Mayo,16356.496
461,8745,2021,Junio,16601.305
462,8745,2021,Julio,19875.328
463,8745,2021,Agosto,20335.852
464,8745,2021,Septiembre,18196.105
465,8745,2021,Octubre,16468.922
466,8745,2021,Noviembre,15759.968
467,8745,2021,Diciembre,16807.759
468,4,2021,Enero,3806960.159
469,4,2021,Febrero,3016830.479
470,4,2021,Marzo,3214203.583
471,4,2021,Abril,2944784.896
472,4,2021,Mayo,3088142.326
473,4,2021,Junio,3166035.944
474,4,2021,Julio,3688723.186
475,4,2021,Agosto,3781782.817
476,4,2021,Septiembre,3261936.787
477,4,2021,Octubre,3062789.782
478,4,2021,Noviembre,3180304.564
479,4,2021,Diciembre,3441074.577
480,5,2021,Enero,899098.143
481,5,2021,Febrero,806734.845
482,5,2021,Marzo,901481.249
483,5,2021,Abril,835504.911
484,5,2021,Mayo,854555.031
485,5,2021,Junio,881086.419
486,5,2021,Julio,914403.06
487,5,2021,Agosto,890945.768
488,5,2021,Septiembre,857223.626
489,5,2021,Octubre,842280.712
490,5,2021,Noviembre,884111.867
491,5,2021,Diciembre,895918.585
492,6,2021,Enero,301323.586
493,6,2021,Febrero,312051.981
494,6,2021,Marzo,354118.186
495,6,2021,Abril,334415.536
496,6,2021,Mayo,354486.889
497,6,2021,Junio,350482.439
498,6,2021,Julio,345632.751
499,6,2021,Agosto,345589.824
500,6,2021,Septiembre,338863.197
501,6,2021,Octubre,328646.412
502,6,2021,Noviembre,336095.262
503,6,2021,Diciembre,314925.718
504,7,2021,Enero,1064675.945
505,7,2021,Febrero,916023.561
506,7,2021,Marzo,1012109.007
507,7,2021,Abril,945621.257
508,7,2021,Mayo,983773.982
509,7,2021,Junio,978293.68
510,7,2021,Julio,1138124.645
511,7,2021,Agosto,1111553.19
512,7,2021,Septiembre,942787.008
513,7,2021,Octubre,889166.115
514,7,2021,Noviembre,988074.665
515,7,2021,Diciembre,1048655.126
516,8,2021,Enero,1267533.707
517,8,2021,Febrero,1100679.804
518,8,2021,Marzo,1190666.42
519,8,2021,Abril,1076771.526
520,8,2021,Mayo,1107577.857
521,8,2021,Junio,1082119.836
522,8,2021,Julio,1195913.925
523,8,2021,Agosto,1139478.345
524,8,2021,Septiembre,1061815.292
525,8,2021,Octubre,1074792.045
526,8,2021,Noviembre,1177942.866
527,8,2021,Diciembre,1192721.645
528,9,2021,Enero,4205890.778
529,9,2021,Febrero,3567341.458
530,9,2021,Marzo,3853996.069
531,9,2021,Abril,3484744.509
532,9,2021,Mayo,3492614.749
533,9,2021,Junio,3674121.832
534,9,2021,Julio,4078621.766
535,9,2021,Agosto,3663381.789
536,9,2021,Septiembre,3695619.204
537,9,2021,Octubre,3493176.901
538,9,2021,Noviembre,3714667.184
539,9,2021,Diciembre,3796545.717
540,10,2021,Enero,1452389.83
541,10,2021,Febrero,1331125.747
542,10,2021,Marzo,1445981.843
543,10,2021,Abril,1298198.318
544,10,2021,Mayo,1350193.26
545,10,2021,Junio,1325699.371
546,10,2021,Julio,1313327.347
547,10,2021,Agosto,1032737.987
548,10,2021,Septiembre,1303370.899
549,10,2021,Octubre,1328564.107
550,10,2021,Noviembre,1414374.753
551,10,2021,Diciembre,1278916.676
552,11,2021,Enero,867913.759
553,11,2021,Febrero,754268.325
554,11,2021,Marzo,808309.756
555,11,2021,Abril,768077.88
556,11,2021,Mayo,776093.729
557,11,2021,Junio,729077.631
558,11,2021,Julio,754393.956
559,11,2021,Agosto,720273.259
